,sales_receipt,sales_customer,sales_product,sales_date_id
0,203722145,569,30763,20180102
1,203722145,569,112415,20180102
2,203722145,569,49480,20180102
3,203722145,569,130287,20180102
4,203722145,569,68306,20180102
5,203722145,569,115460,20180102
6,203722145,569,90823,20180102
7,203722145,569,83793,20180102
8,203722145,569,20388,20180102
9,203722145,569,52541,20180102
10,203722145,569,118108,20180102
11,203722145,569,72749,20180102
12,203722145,569,21790,20180102
13,203722145,569,34011,20180102
14,203722145,569,101830,20180102
15,203722145,569,101841,20180102
16,203722145,569,9619,20180102
17,203722145,569,18887,20180102
18,203722145,569,20567,20180102
19,203722732,523,3665,20180102
20,203722732,523,106573,20180102
21,203722732,523,33068,20180102
22,203722732,523,4304,20180102
23,203722732,523,14916,20180102
24,203722732,523,24457,20180102
25,203722732,523,137968,20180102
26,203722732,523,89070,20180102
27,203722732,523,40216,20180102
28,203722732,523,134776,20180102
29,203722732,523,31987,20180102
30,203722732,523,7466,20180102
31,203722732,523,125532,20180102
32,203722732,523,115452,20180102
33,203722732,523,27511,20180102
34,203722732,523,32949,20180102
35,203722732,523,27520,20180102
36,203722732,523,75260,20180102
37,203722732,523,137067,20180102
38,203722795,204,108850,20180102
39,203722795,204,97633,20180102
40,203722795,204,70029,20180102
41,203722795,204,3507,20180102
42,203722795,204,61361,20180102
43,203722795,204,74275,20180102
44,203722795,204,7005,20180102
45,203722795,204,58789,20180102
46,203722795,204,32120,20180102
47,203722795,204,98333,20180102
48,203722795,204,96376,20180102
49,203722795,204,19925,20180102
50,203722795,204,9833,20180102
51,203722795,204,12272,20180102
52,203722795,204,61361,20180102
53,203722795,204,90572,20180102
54,203723509,70,24067,20180102
55,203723509,70,78592,20180102
56,203723509,70,15299,20180102
57,203723509,70,881,20180102
58,203724266,170,60869,20180102
59,203724266,170,21289,20180102
60,203724266,170,37634,20180102
61,203724266,170,80570,20180102
62,203724266,170,117473,20180102
63,203724266,170,19702,20180102
64,203724266,170,24493,20180102
65,203724266,170,10769,20180102
66,203724266,170,156467,20180102
67,203724266,170,11174,20180102
68,203724266,170,49381,20180102
69,203724266,170,6494,20180102
70,203724266,170,46938,20180102
71,203724266,170,29367,20180102
72,203724266,170,104595,20180102
73,203724266,170,30609,20180102
74,203724266,170,74814,20180102
75,203724266,170,27066,20180102
76,203724266,170,57324,20180102
77,203724266,170,96392,20180102
78,203724266,170,104593,20180102
79,203724552,563,99507,20180102
80,203724552,563,38763,20180102
81,203724552,563,21972,20180102
82,203724552,563,1380,20180102
83,203724552,563,28850,20180102
84,203724552,563,92098,20180102
85,203724552,563,54140,20180102
86,203724552,563,82201,20180102
87,203724592,222,22371,20180102
88,203724592,222,41915,20180102
89,203724592,222,32949,20180102
90,203724592,222,91793,20180102
91,203724592,222,35024,20180102
92,203724592,222,23016,20180102
93,203724592,222,99705,20180102
94,203724592,222,87563,20180102
95,203724592,222,70969,20180102
96,203724592,222,95161,20180102
97,203724592,222,25930,20180102
98,203725447,654,79676,20180102
99,203725447,654,19315,20180102
100,203725447,654,17012,20180102
101,203725447,654,111857,20180102
102,203725447,654,15009,20180102
103,203725447,654,9940,20180102
104,203725447,654,80505,20180102
105,203725447,654,90259,20180102
106,203727007,345,7004,20180102
107,203727007,345,25545,20180102
108,203727007,345,12224,20180102
109,203728144,401,139102,20180103
110,203728144,401,47383,20180103
111,203728542,450,86851,20180103
112,203728542,450,73370,20180103
113,203728542,450,95509,20180103
114,203728542,450,20326,20180103
115,203728542,450,85435,20180103
116,203728542,450,53097,20180103
117,203728542,450,4287,20180103
118,203728542,450,62454,20180103
119,203728542,450,23356,20180103
120,203728542,450,94705,20180103
121,203728542,450,112901,20180103
122,203728542,450,12673,20180103
123,203728542,450,26260,20180103
124,203728542,450,64732,20180103
125,203728542,450,6269,20180103
126,203728829,230,4404,20180103
127,203728829,230,36480,20180103
128,203728829,230,23692,20180103
129,203728829,230,4537,20180103
130,203728829,230,43952,20180103
131,203728829,230,23959,20180103
132,203728961,439,153843,20180103
133,203728961,439,16852,20180103
134,203728961,439,1344,20180103
135,203728961,439,18368,20180103
136,203728961,439,56172,20180103
137,203728961,439,92098,20180103
138,203728976,168,56907,20180103
139,203728976,168,28342,20180103
140,203728976,168,28342,20180103
141,203728976,168,61589,20180103
142,203728976,168,141594,20180103
