,product_id,product_lvl1_cat_desc,product_lvl2_cat_desc
209,22993,Alcohol,Wine
210,23422,Alcohol,Wine
211,23565,Alcohol,Wine
212,24180,Alcohol,Wine
213,24550,Alcohol,Wine
214,24634,Alcohol,Wine
215,25540,Alcohol,Wine
216,25765,Alcohol,Wine
217,26104,Alcohol,Wine
218,27366,Alcohol,Wine
219,27463,Alcohol,Wine
220,27994,Alcohol,Wine
221,28061,Alcohol,Wine
222,28746,Alcohol,Wine
223,28783,Alcohol,Wine
224,28834,Alcohol,Wine
225,28848,Alcohol,Wine
226,28915,Alcohol,Wine
227,31701,Alcohol,Wine
228,33682,Alcohol,Wine
229,33930,Alcohol,Wine
230,34262,Alcohol,Wine
231,34597,Alcohol,Wine
232,34598,Alcohol,Wine
233,35383,Alcohol,Wine
234,36886,Alcohol,Wine
235,37170,Alcohol,Wine
236,37570,Alcohol,Wine
237,38194,Alcohol,Wine
238,38879,Alcohol,Wine
239,39102,Alcohol,Wine
240,39959,Alcohol,Wine
241,40244,Alcohol,Wine
242,40737,Alcohol,Wine
243,40781,Alcohol,Wine
244,41787,Alcohol,Wine
245,43483,Alcohol,Wine
246,43638,Alcohol,Wine
247,45088,Alcohol,Wine
248,45494,Alcohol,Wine
249,46354,Alcohol,Wine
250,46431,Alcohol,Wine
251,46799,Alcohol,Wine
252,46850,Alcohol,Wine
253,48774,Alcohol,Wine
254,49023,Alcohol,Wine
255,49024,Alcohol,Wine
256,49326,Alcohol,Wine
257,50059,Alcohol,Wine
258,50303,Alcohol,Wine
259,50304,Alcohol,Wine
260,54394,Alcohol,Wine
261,54572,Alcohol,Wine
262,54999,Alcohol,Wine
263,57680,Alcohol,Wine
264,61221,Alcohol,Wine
265,61958,Alcohol,Wine
266,63389,Alcohol,Wine
267,64540,Alcohol,Wine
268,66297,Alcohol,Wine
269,66989,Alcohol,Wine
270,67371,Alcohol,Wine
271,68650,Alcohol,Wine
272,70202,Alcohol,Wine
273,70374,Alcohol,Wine
274,74238,Alcohol,Wine
275,77188,Alcohol,Wine
276,79868,Alcohol,Wine
277,80159,Alcohol,Wine
278,80275,Alcohol,Wine
279,81012,Alcohol,Wine
280,82967,Alcohol,Wine
281,84853,Alcohol,Wine
282,85202,Alcohol,Wine
283,85363,Alcohol,Wine
284,87600,Alcohol,Wine
285,92546,Alcohol,Wine
286,94265,Alcohol,Wine
287,94997,Alcohol,Wine
288,98966,Alcohol,Wine
289,107186,Alcohol,Wine
290,109532,Alcohol,Wine
291,115846,Alcohol,Wine
292,115847,Alcohol,Wine
293,116098,Alcohol,Wine
294,117162,Alcohol,Wine
